Typologie,Régime de vitesse,Voie,Arrondissement,Bois,Longueur du tronçon en m,latitude,longitude
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),ZONE 30,PLACE JACQUES BONSERGENT,10.0,Non,71.76912606,48.871098174846054,2.3610495972186496
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),ZONE 30,RUE ALBERT THOMAS,10.0,Non,26.12238567,48.86931561302377,2.363361419366245
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),ZONE 30,RUE ALBERT THOMAS,10.0,Non,6.36202482,48.86895725096697,2.3638075092958157
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),ZONE 30,PASSAGE DES MARAIS,10.0,Non,139.99252763,48.871742499670724,2.361478527206552
Bandes cyclables,VOIE 50,AVENUE DE LA PORTE DE VITRY,13.0,Non,6.75275105,48.82389427522865,2.37722804048972
Pistes cyclables,VOIE 50,BOULEVARD DU GENERAL JEAN SIMON,13.0,Non,14.68127979,48.82721915271613,2.3853308222702116
Pistes cyclables,VOIE 50,BOULEVARD DU GENERAL JEAN SIMON,13.0,Non,62.67526355,48.82596446759754,2.3821257136602227
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),AIRE PIETONNE,RUE JEAN-PIERRE TIMBAUD,11.0,Non,120.75920148,48.8678813051192,2.3780930090800307
Couloirs de bus ouverts aux vélos,VOIE 50,RUE DESAIX,15.0,Non,11.50102171,48.851697653271586,2.291585896738283
Pistes cyclables,VOIE 50,BOULEVARD DE GRENELLE,15.0,Non,44.90003654,48.849152858250534,2.298106391800705
Bandes cyclables,ZONE 30,RUE DE MONTYON,9.0,Non,17.97939476,48.873097335037784,2.344878055940706
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),ZONE 30,RUE DE L AGENT BAILLY,9.0,Non,102.78906576,48.87841962996793,2.341978953261958
Pistes cyclables,VOIE 50,RUE LAFAYETTE,10.0,Non,124.47665998,48.877602432344844,2.35031760818174
Pistes cyclables,VOIE 50,RUE LAFAYETTE,9.0,Non,234.11713933,48.87609950147414,2.344524075956298
Couloirs de bus ouverts aux vélos,VOIE 50,RUE D AMSTERDAM,8.0,Non,197.15948104,48.8767942150617,2.326869049858104
Couloirs de bus ouverts aux vélos,VOIE 30,RUE LAFAYETTE,9.0,Non,27.21825379,48.87663172122501,2.346993811137569
Pistes cyclables,VOIE 50,BOULEVARD DE CLICHY,9.0,Non,27.71572565,48.88234183691175,2.337367878236438
Pistes cyclables,VOIE 50,BOULEVARD DE ROCHECHOUART,9.0,Non,149.20799885,48.88308800798515,2.345519952851474
Pistes cyclables,VOIE 50,QUAI D ORSAY,7.0,Non,15.64360925,48.862424562357134,2.3031311783026163
Pistes cyclables,VOIE 50,QUAI D ORSAY,7.0,Non,24.71649124,48.86266726120604,2.309998080730327
Bandes cyclables,VOIE 50,AVENUE FELIX FAURE,15.0,Non,5.95538396,48.83890088438655,2.2822815794652147
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),ZONE 30,RUE CIVIALE,10.0,Non,142.71471735,48.872752019049685,2.3754222326947607
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),ZONE 30,RUE D OUESSANT,15.0,Non,98.52027881,48.84991259138088,2.2979145774063
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),ZONE 30,RUE BERTIN POIREE,1.0,Non,60.40555494,48.85916738589368,2.3450234858173764
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),ZONE DE RENCONTRE,RUE JEAN-JACQUES ROUSSEAU,1.0,Non,167.31333072,48.86256806240128,2.3406132332499485
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),VOIE 30,AVENUE ELISEE RECLUS,7.0,Non,90.21935054,48.858566510454786,2.297413964846865
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),VOIE 30,AVENUE CHARLES FLOQUET,7.0,Non,61.1835984,48.854363412543925,2.297164033233501
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),AIRE PIETONNE,PLACE DE LA REPUBLIQUE,3.0,Non,18.00673214,48.86796256053101,2.362699212235241
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),ZONE 30,RUE DES GRAVILLIERS,3.0,Non,237.09955171,48.8638400539606,2.3567222534032406
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),AIRE PIETONNE,RUE DE LA CORDERIE,3.0,Non,66.76247908,48.864875140091655,2.3632129299674025
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),ZONE DE RENCONTRE,RUE CHEREAU,13.0,Non,71.13264769,48.82756062893239,2.3515407834414312
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),ZONE DE RENCONTRE,RUE BUOT,13.0,Non,121.29772356,48.826955627231406,2.3493995946464152
Pistes cyclables,VOIE 50,AVENUE DU TREMBLAY,12.0,Bois de Vincennes,309.19779465,48.82555098404161,2.464806624753807
Pistes cyclables,VOIE 30,QUAI DE L OISE,19.0,Non,673.69321861,48.89033784575808,2.3827642939253773
Pistes cyclables,VOIE 30,QUAI DE LA GIRONDE,19.0,Non,384.03313495,48.89414943498322,2.384640243148933
